Pourcentage erreur;Voisin;Dimension
29.28;5;('Polarite', 'Pi')
31.58;6;('Polarite', 'Pi')
27.63;7;('Polarite', 'Pi')
28.95;8;('Polarite', 'Pi')
26.97;9;('Polarite', 'Pi')
28.29;10;('Polarite', 'Pi')
27.96;11;('Polarite', 'Pi')
28.62;12;('Polarite', 'Pi')
25.99;13;('Polarite', 'Pi')
27.63;14;('Polarite', 'Pi')
27.96;15;('Polarite', 'Pi')
28.95;16;('Polarite', 'Pi')
27.63;17;('Polarite', 'Pi')
27.63;18;('Polarite', 'Pi')
27.3;19;('Polarite', 'Pi')
32.24;1;('Charge', 'Volume')
33.22;2;('Charge', 'Volume')
32.57;3;('Charge', 'Volume')
33.55;4;('Charge', 'Volume')
31.58;5;('Charge', 'Volume')
32.57;6;('Charge', 'Volume')
30.59;7;('Charge', 'Volume')
29.93;8;('Charge', 'Volume')
30.92;9;('Charge', 'Volume')
31.25;10;('Charge', 'Volume')
31.58;11;('Charge', 'Volume')
31.91;12;('Charge', 'Volume')
32.57;13;('Charge', 'Volume')
30.59;14;('Charge', 'Volume')
30.26;15;('Charge', 'Volume')
29.93;16;('Charge', 'Volume')
29.28;17;('Charge', 'Volume')
30.26;18;('Charge', 'Volume')
30.59;19;('Charge', 'Volume')
34.87;1;('Charge', 'Tendance helice')
32.57;2;('Charge', 'Tendance helice')
31.25;3;('Charge', 'Tendance helice')
38.16;4;('Charge', 'Tendance helice')
35.86;5;('Charge', 'Tendance helice')
34.21;6;('Charge', 'Tendance helice')
31.58;7;('Charge', 'Tendance helice')
32.57;8;('Charge', 'Tendance helice')
31.58;9;('Charge', 'Tendance helice')
35.53;10;('Charge', 'Tendance helice')
33.22;11;('Charge', 'Tendance helice')
36.18;12;('Charge', 'Tendance helice')
35.2;13;('Charge', 'Tendance helice')
36.51;14;('Charge', 'Tendance helice')
35.86;15;('Charge', 'Tendance helice')
37.17;16;('Charge', 'Tendance helice')
37.5;17;('Charge', 'Tendance helice')
40.13;18;('Charge', 'Tendance helice')
37.17;19;('Charge', 'Tendance helice')
30.92;1;('Charge', 'Tendance feuillet')
31.58;2;('Charge', 'Tendance feuillet')
32.24;3;('Charge', 'Tendance feuillet')
27.63;4;('Charge', 'Tendance feuillet')
28.95;5;('Charge', 'Tendance feuillet')
28.95;6;('Charge', 'Tendance feuillet')
27.96;7;('Charge', 'Tendance feuillet')
27.3;8;('Charge', 'Tendance feuillet')
25.99;9;('Charge', 'Tendance feuillet')
26.97;10;('Charge', 'Tendance feuillet')
25.99;11;('Charge', 'Tendance feuillet')
26.64;12;('Charge', 'Tendance feuillet')
26.64;13;('Charge', 'Tendance feuillet')
25.33;14;('Charge', 'Tendance feuillet')
25.99;15;('Charge', 'Tendance feuillet')
24.67;16;('Charge', 'Tendance feuillet')
25.0;17;('Charge', 'Tendance feuillet')
24.01;18;('Charge', 'Tendance feuillet')
25.0;19;('Charge', 'Tendance feuillet')
32.24;1;('Charge', 'Flexibilite')
33.55;2;('Charge', 'Flexibilite')
28.29;3;('Charge', 'Flexibilite')
34.87;4;('Charge', 'Flexibilite')
32.89;5;('Charge', 'Flexibilite')
35.2;6;('Charge', 'Flexibilite')
33.55;7;('Charge', 'Flexibilite')
33.55;8;('Charge', 'Flexibilite')
32.24;9;('Charge', 'Flexibilite')
33.22;10;('Charge', 'Flexibilite')
30.59;11;('Charge', 'Flexibilite')
31.25;12;('Charge', 'Flexibilite')
30.59;13;('Charge', 'Flexibilite')
32.24;14;('Charge', 'Flexibilite')
34.87;15;('Charge', 'Flexibilite')
33.22;16;('Charge', 'Flexibilite')
32.89;17;('Charge', 'Flexibilite')
32.89;18;('Charge', 'Flexibilite')
33.55;19;('Charge', 'Flexibilite')
31.91;1;('Charge', 'Hydropathie')
31.58;2;('Charge', 'Hydropathie')
31.91;3;('Charge', 'Hydropathie')
29.28;4;('Charge', 'Hydropathie')
31.91;5;('Charge', 'Hydropathie')
30.92;6;('Charge', 'Hydropathie')
29.61;7;('Charge', 'Hydropathie')
29.28;8;('Charge', 'Hydropathie')
28.62;9;('Charge', 'Hydropathie')
